Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,119.269997,119.989998,118.889999,119.540001,113.950706,22307600
2017-01-04,119.669998,120.410004,119.660004,120.190002,114.570320,19749100
2017-01-05,120.099998,120.949997,120.099998,120.870003,115.218536,20644300
2017-01-06,121.000000,122.250000,120.690002,121.930000,116.228973,24074300
2017-01-09,122.029999,122.550003,121.949997,122.330002,116.610268,18909200
2017-01-10,122.379997,122.970001,122.099998,122.599998,116.867630,16176600
2017-01-11,122.650002,122.930000,122.019997,122.930000,117.182190,20686000
2017-01-12,122.489998,122.820000,121.599998,122.739998,117.001122,19622500
2017-01-13,122.800003,123.370003,122.800003,123.160004,117.401459,16930800
2017-01-17,122.839996,123.029999,122.430000,122.790001,117.048744,14538500
2017-01-18,122.970001,123.160004,122.660004,123.040001,117.287071,12499700
2017-01-19,123.220001,123.650002,122.720001,122.980003,117.229897,12710700
2017-01-20,123.519997,123.830002,122.919998,123.250000,117.487267,22091000
2017-01-23,123.169998,123.529999,122.570000,123.349998,117.582596,17434200
2017-01-24,123.589996,124.370003,123.379997,124.180000,118.373764,17640900
2017-01-25,124.959999,125.459999,124.849998,125.430000,119.565331,15036200
2017-01-26,125.599998,125.820000,125.339996,125.559998,119.689224,16052200
2017-01-27,125.830002,125.919998,125.389999,125.800003,119.918030,15053000
2017-01-30,125.379997,125.379997,124.129997,124.820000,118.983833,25006700
2017-01-31,124.379997,124.599998,123.849998,124.570000,118.745537,19091100
2017-02-01,125.449997,125.680000,124.860001,125.430000,119.565331,22861900
2017-02-02,125.209999,125.699997,124.860001,125.320000,119.460480,15101400
2017-02-03,125.449997,125.809998,125.330002,125.680000,119.803612,16957200
2017-02-06,125.470001,125.849998,125.349998,125.830002,119.946617,11630100
2017-02-07,126.089996,126.550003,125.970001,126.290001,120.385117,17541100
2017-02-08,126.120003,126.680000,125.879997,126.500000,120.585289,12569100
2017-02-09,126.629997,127.239998,126.559998,126.959999,121.023773,17542700
2017-02-10,127.239998,127.559998,127.019997,127.379997,121.424149,13915700
2017-02-13,127.769997,128.259995,127.720001,128.100006,122.110489,19120200
2017-02-14,128.149994,128.539993,127.739998,128.529999,122.520378,16333500
2017-02-15,128.440002,129.350006,128.369995,129.289993,123.244835,17891400
2017-02-16,129.369995,129.630005,128.919998,129.250000,123.206703,15098300
2017-02-17,129.059998,129.820007,129.039993,129.809998,123.740555,15563700
2017-02-21,130.059998,130.529999,129.990005,130.449997,124.350594,18479600
