Date,Open,High,Low,Close,Adj Close,Volume
2022-12-01,4087.139893,4100.959961,3764.489990,3839.500000,3839.500000,85249330000
2023-01-01,3853.290039,4094.209961,3794.330078,4076.600098,4076.600098,80763810000
2023-02-01,4070.070068,4195.439941,3943.080078,3970.149902,3970.149902,80392280000
2023-03-01,3963.340088,4110.750000,3808.860107,4109.310059,4109.310059,113094800000
2023-04-01,4102.200195,4170.060059,4049.350098,4169.479980,4169.479980,70861260000
2023-05-01,4166.790039,4231.100098,4048.280029,4179.830078,4179.830078,88929200000
2023-06-01,4183.029785,4458.479980,4171.640137,4450.379883,4450.379883,87983140000
2023-07-01,4450.479980,4607.069824,4385.049805,4588.959961,4588.959961,75063200000
2023-08-01,4578.830078,4584.620117,4335.310059,4507.660156,4507.660156,86840820000
2023-09-01,4530.600098,4541.250000,4238.629883,4288.049805,4288.049805,73482980000
2023-10-01,4284.520020,4393.569824,4103.779785,4193.799805,4193.799805,79952900000
2023-11-01,4201.270020,4587.640137,4197.740234,4567.799805,4567.799805,80970570000
2023-11-30,4554.870117,4569.890137,4537.240234,4567.799805,4567.799805,3554385782
