Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,2251.570068,2282.100098,2245.129883,2276.979980,2276.979980,14669060000
2017-01-09,2273.590088,2279.270020,2254.250000,2274.639893,2274.639893,17042270000
2017-01-16,2269.139893,2276.959961,2258.409912,2271.310059,2271.310059,13609860000
2017-01-23,2267.780029,2300.989990,2257.020020,2294.689941,2294.689941,17570460000
2017-01-30,2286.010010,2298.310059,2267.209961,2297.419922,2297.419922,19019690000
2017-02-06,2294.280029,2319.229980,2285.379883,2316.100098,2316.100098,17355000000
2017-02-13,2321.719971,2351.310059,2321.419922,2351.159912,2351.159912,17859010000
2017-02-20,2354.909912,2368.260010,2352.870117,2367.340088,2367.340088,14914870000
2017-02-27,2365.229980,2400.979980,2358.959961,2383.120117,2383.120117,19525470000
2017-03-06,2375.229980,2378.800049,2354.540039,2372.600098,2372.600098,17745030000
2017-03-13,2371.560059,2390.010010,2358.179932,2378.250000,2378.250000,18798600000
2017-03-20,2378.239990,2381.929932,2335.739990,2343.979980,2343.979980,17156540000
2017-03-27,2329.110107,2370.419922,2322.250000,2362.719971,2362.719971,16235510000
2017-04-03,2362.340088,2378.360107,2344.729980,2355.540039,2355.540039,16665670000
2017-04-10,2357.159912,2366.370117,2328.949951,2328.949951,2328.949951,12261150000
2017-04-17,2332.620117,2361.370117,2332.510010,2348.689941,2348.689941,16793410000
2017-04-24,2370.330078,2398.159912,2369.189941,2384.199951,2384.199951,19649630000
2017-05-01,2388.500000,2399.290039,2379.750000,2399.290039,2399.290039,18870720000
2017-05-08,2399.939941,2403.870117,2381.739990,2390.899902,2390.899902,17769530000
2017-05-15,2393.979980,2405.770020,2352.719971,2381.729980,2381.729980,19227790000
2017-05-22,2387.209961,2418.709961,2386.919922,2415.820068,2415.820068,16127520000
2017-05-29,2411.669922,2440.229980,2403.590088,2439.070068,2439.070068,15050020000
2017-06-05,2437.830078,2446.199951,2415.699951,2431.770020,2431.770020,17635530000
2017-06-12,2425.879883,2443.750000,2418.530029,2433.149902,2433.149902,19540080000
2017-06-19,2442.550049,2453.820068,2430.739990,2438.300049,2438.300049,19053080000
2017-06-26,2443.320068,2450.419922,2405.699951,2423.409912,2423.409912,17524000000
2017-07-03,2431.389893,2439.169922,2407.699951,2425.179932,2425.179932,11567730000
2017-07-10,2424.510010,2463.540039,2412.790039,2459.270020,2459.270020,15102550000
2017-07-17,2459.500000,2477.620117,2450.340088,2472.540039,2472.540039,15129180000
2017-07-24,2472.040039,2484.040039,2459.929932,2472.100098,2472.100098,18072700000
2017-07-31,2475.939941,2480.379883,2466.479980,2476.830078,2476.830078,17335730000
2017-08-07,2477.139893,2490.870117,2437.750000,2441.320068,2441.320068,16391220000
2017-08-14,2454.959961,2474.929932,2420.689941,2425.550049,2425.550049,15295240000
2017-08-21,2425.500000,2454.770020,2417.350098,2443.050049,2443.050049,13824620000
2017-08-28,2447.350098,2480.379883,2428.199951,2476.550049,2476.550049,14126800000
2017-09-04,2470.350098,2471.969971,2446.550049,2461.429932,2461.429932,13576530000
2017-09-11,2474.520020,2500.229980,2474.520020,2500.229980,2500.229980,18184550000
2017-09-18,2502.510010,2508.850098,2496.540039,2502.219971,2502.219971,15886600000
2017-09-25,2499.389893,2519.439941,2488.030029,2519.360107,2519.360107,16263660000
2017-10-02,2521.199951,2552.510010,2520.399902,2549.330078,2549.330078,15278620000
2017-10-09,2551.389893,2557.649902,2541.600098,2553.169922,2553.169922,14748620000
2017-10-16,2555.570068,2575.439941,2547.919922,2575.209961,2575.209961,15233210000
2017-10-23,2578.080078,2582.979980,2544.000000,2581.070068,2581.070068,18323450000
2017-10-30,2577.750000,2588.419922,2566.169922,2587.840088,2587.840088,18964700000
2017-11-06,2587.469971,2597.020020,2566.330078,2582.300049,2582.300049,18589450000
2017-11-13,2576.530029,2590.090088,2557.449951,2578.850098,2578.850098,17274900000
2017-11-20,2579.489990,2604.209961,2578.239990,2602.419922,2602.419922,10525170000
2017-11-27,2602.659912,2657.739990,2598.870117,2642.219971,2642.219971,19518320000
2017-12-04,2657.189941,2665.189941,2624.750000,2651.500000,2651.500000,17250300000
2017-12-11,2652.189941,2679.629883,2651.469971,2675.810059,2675.810059,19458420000
2017-12-18,2685.919922,2694.969971,2676.110107,2683.340088,2683.340088,16075840000
2017-12-25,2679.090088,2692.120117,2673.610107,2673.610107,2673.610107,8796210000
