Date, Open, High, Low,Adj Close, Close,Volume
2017-01-03,2251.57,2263.88,2245.13,0,2257.83,0
2017-01-04,2261.6,2272.82,2261.6,0,2270.75,0
2017-01-05,2268.18,2271.5,2260.45,0,2269,0
2017-01-06,2271.14,2282.1,2264.06,0,2276.98,0
2017-01-09,2273.59,2275.49,2268.9,0,2268.9,0
2017-01-10,2269.72,2279.27,2265.27,0,2268.9,0
2017-01-11,2268.6,2275.32,2260.83,0,2275.32,0
2017-01-12,2271.14,2271.78,2254.25,0,2270.44,0
2017-01-13,2272.74,2278.68,2271.51,0,2274.64,0
2017-01-17,2269.14,2272.08,2262.81,0,2267.89,0
2017-01-18,2269.14,2272.01,2263.35,0,2271.89,0
2017-01-19,2271.9,2274.33,2258.41,0,2263.69,0
2017-01-20,2269.96,2276.96,2265.01,0,2271.31,0
2017-01-23,2267.78,2271.78,2257.02,0,2265.2,0
2017-01-24,2267.88,2284.63,2266.68,0,2280.07,0
2017-01-25,2288.88,2299.55,2288.88,0,2298.37,0
2017-01-26,2298.63,2300.99,2294.08,0,2296.68,0
2017-01-27,2299.02,2299.02,2291.62,0,2294.69,0
2017-01-30,2286.01,2286.01,2268.04,0,2280.9,0
2017-01-31,2274.02,2279.09,2267.21,0,2278.87,0
2017-02-01,2285.59,2289.14,2272.44,0,2279.55,0
2017-02-02,2276.69,2283.97,2271.65,0,2280.85,0
2017-02-03,2288.54,2298.31,2287.88,0,2297.42,0
2017-02-06,2294.28,2296.18,2288.57,0,2292.56,0
2017-02-07,2295.87,2299.4,2290.16,0,2293.08,0
2017-02-08,2289.55,2295.91,2285.38,0,2294.67,0
2017-02-09,2296.7,2311.08,2296.61,0,2307.87,0
2017-02-10,2312.27,2319.23,2311.1,0,2316.1,0
2017-02-13,2321.72,2331.58,2321.42,0,2328.25,0
2017-02-14,2326.12,2337.58,2322.17,0,2337.58,0
2017-02-15,2335.58,2351.3,2334.81,0,2349.25,0
2017-02-16,2349.64,2351.31,2338.87,0,2347.22,0
2017-02-17,2343.01,2351.16,2339.58,0,2351.16,0
2017-02-21,2354.91,2366.71,2354.91,0,2365.38,0
2017-02-22,2361.11,2365.13,2358.34,0,2362.82,0
2017-02-23,2367.5,2368.26,2355.09,0,2363.81,0
2017-02-24,2355.73,2367.34,2352.87,0,2367.34,0
2017-02-27,2365.23,2371.54,2361.87,0,2369.75,0
2017-02-28,2366.08,2367.79,2358.96,0,2363.64,0
2017-03-01,2380.13,2400.98,2380.13,0,2395.96,0
2017-03-02,2394.75,2394.75,2380.17,0,2381.92,0
2017-03-03,2380.92,2383.89,2375.39,0,2383.12,0
2017-03-06,2375.23,2378.8,2367.98,0,2375.31,0
2017-03-07,2370.74,2375.12,2365.51,0,2368.39,0
2017-03-08,2369.81,2373.09,2361.01,0,2362.98,0
2017-03-09,2363.49,2369.08,2354.54,0,2364.87,0
2017-03-10,2372.52,2376.86,2363.04,0,2372.6,0
2017-03-13,2371.56,2374.42,2368.52,0,2373.47,0
2017-03-14,2368.55,2368.55,2358.18,0,2365.45,0
2017-03-15,2370.34,2390.01,2368.94,0,2385.26,0
2017-03-16,2387.71,2388.1,2377.18,0,2381.38,0
2017-03-17,2383.71,2385.71,2377.64,0,2378.25,0
2017-03-20,2378.24,2379.55,2369.66,0,2373.47,0
2017-03-21,2379.32,2381.93,2341.9,0,2344.02,0
2017-03-22,2343,2351.81,2336.45,0,2348.45,0
2017-03-23,2345.97,2358.92,2342.13,0,2345.96,0
2017-03-24,2350.42,2356.22,2335.74,0,2343.98,0
2017-03-27,2329.11,2344.9,2322.25,0,2341.59,0
2017-03-28,2339.79,2363.78,2337.63,0,2358.57,0
2017-03-29,2356.54,2363.36,2352.94,0,2361.13,0
2017-03-30,2361.31,2370.42,2358.58,0,2368.06,0
2017-03-31,2364.82,2370.35,2362.6,0,2362.72,0
2017-04-03,2362.34,2365.87,2344.73,0,2358.84,0
2017-04-04,2354.76,2360.53,2350.72,0,2360.16,0
2017-04-05,2366.59,2378.36,2350.52,0,2352.95,0
2017-04-06,2353.79,2364.16,2348.9,0,2357.49,0
2017-04-07,2356.59,2363.76,2350.74,0,2355.54,0
2017-04-10,2357.16,2366.37,2351.5,0,2357.16,0
2017-04-11,2353.92,2355.22,2337.25,0,2353.78,0
2017-04-12,2352.15,2352.72,2341.18,0,2344.93,0
2017-04-13,2341.98,2348.26,2328.95,0,2328.95,0
2017-04-17,2332.62,2349.14,2332.51,0,2349.01,0
2017-04-18,2342.53,2348.35,2334.54,0,2342.19,0
