Date,Open,High,Low,Close,Adj Close,Volume
2018-09-03,8087.950195,8104.069824,7873.930176,7902.540039,7902.540039,9375830000
2018-09-10,7939.569824,8040.830078,7880.919922,8010.040039,8010.040039,11175140000
2018-09-17,7992.209961,8057.259766,7890.069824,7986.959961,7986.959961,12836050000
2018-09-24,7939.379883,8071.560059,7912.470215,8046.350098,8046.350098,11520340000
2018-10-01,8091.500000,8107.379883,7715.970215,7788.450195,7788.450195,13814010000
2018-10-08,7747.100098,7799.750000,7274.040039,7496.890137,7496.890137,13666150000
2018-10-15,7473.330078,7670.490234,7400.069824,7449.029785,7449.029785,12307600000
2018-10-22,7486.740234,7520.540039,7057.000000,7167.209961,7167.209961,13772200000
2018-10-29,7272.419922,7466.529785,6922.830078,7356.990234,7356.990234,13958430000
2018-11-05,7344.080078,7572.930176,7255.879883,7406.899902,7406.899902,12076550000
2018-11-12,7364.049805,7371.089844,7072.359863,7247.870117,7247.870117,12223270000
2018-11-19,7217.240234,7224.120117,6830.759766,6938.979980,6938.979980,7880470000
2018-11-26,7026.500000,7332.790039,7003.120117,7330.540039,7330.540039,11092980000
2018-12-03,7486.129883,7486.509766,6945.270020,6969.250000,6969.250000,10661200000
2018-12-10,6959.629883,7197.290039,6878.990234,6910.660156,6910.660156,11474700000
2018-12-17,6886.459961,6931.810059,6304.629883,6332.990234,6332.990234,16093920000
2018-12-24,6278.490234,6684.180176,6190.169922,6584.520020,6584.520020,8885690000
2018-12-31,6649.520020,6760.689941,6457.129883,6738.859863,6738.859863,9598820000
2019-01-07,6757.529785,6991.370117,6741.399902,6971.479980,6971.479980,11629710000
2019-01-14,6908.029785,7185.379883,6887.479980,7157.229980,7157.229980,10799800000
2019-01-21,7109.569824,7174.560059,6953.229980,7164.859863,7164.859863,9551410000
2019-01-28,7075.009766,7303.120117,7011.470215,7263.870117,7263.870117,12470860000
2019-02-04,7266.279785,7410.770020,7225.140137,7298.200195,7298.200195,10983610000
2019-02-11,7327.370117,7477.279785,7290.029785,7472.410156,7472.410156,10533600000
2019-02-18,7450.750000,7527.540039,7430.890137,7527.540039,7527.540039,8900050000
2019-02-25,7585.299805,7603.040039,7485.390137,7595.350098,7595.350098,12303670000
2019-03-04,7636.620117,7643.660156,7332.919922,7408.140137,7408.140137,11728950000
2019-03-11,7442.560059,7714.959961,7442.399902,7688.529785,7688.529785,12450100000
2019-03-18,7696.379883,7850.109863,7642.569824,7642.669922,7642.669922,12231840000
2019-03-25,7618.979980,7738.169922,7579.290039,7729.319824,7729.319824,10720850000
2019-04-01,7800.240234,7940.450195,7777.089844,7938.689941,7938.689941,11172620000
2019-04-08,7924.890137,7992.089844,7891.850098,7984.160156,7984.160156,10105020000
2019-04-15,7987.160156,8052.399902,7933.569824,7998.060059,7998.060059,8372410000
2019-04-22,7969.370117,8151.839844,7965.899902,8146.399902,8146.399902,9989640000
2019-04-29,8147.649902,8176.080078,7976.770020,8164.000000,8164.000000,10479860000
